Step;  Passed RM Count;  Passed RM Percentage;  Avg. Passed OM Count;  1 OM Count;  1 OM Percentage;  2 OM Count;  2 OM Percentage;  3 OM Count;  3 OM Percentage;  4 OM Count;  4 OM Percentage;  5 OM Count;  5 OM Percentage;  6 OM Count;  6 OM Percentage;  7 OM Count;  7 OM Percentage;  8 OM Count;  8 OM Percentage;  9 OM Count;  9 OM Percentage;  10 OM Count;  10 OM Percentage;  11 OM Count;  11 OM Percentage;  12 OM Count;  12 OM Percentage;  13 OM Count;  13 OM Percentage;  14 OM Count;  14 OM Percentage;  15 OM Count;  15 OM Percentage;  16 OM Count;  16 OM Percentage;  17 OM Count;  17 OM Percentage;  18 OM Count;  18 OM Percentage;  19 OM Count;  19 OM Percentage;  20 OM Count;  20 OM Percentage
39;  670;  86.787565;  4.086788;  78;  10.103627;  103;  13.341969;  86;  11.139896;  85;  11.010363;  78;  10.103627;  74;  9.585492;  54;  6.994819;  43;  5.569948;  25;  3.238342;  17;  2.202073;  14;  1.813472;  7;  0.906736;  3;  0.388601;  1;  0.129534;  1;  0.129534;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
40;  680;  88.082902;  4.112694;  88;  11.398964;  102;  13.212435;  94;  12.176166;  75;  9.715026;  78;  10.103627;  77;  9.974093;  59;  7.642487;  38;  4.922280;  20;  2.590674;  19;  2.461140;  15;  1.943005;  7;  0.906736;  4;  0.518135;  2;  0.259067;  0;  0.000000;  1;  0.129534;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000
41;  676;  87.564767;  4.107513;  83;  10.751295;  109;  14.119171;  72;  9.326425;  93;  12.046632;  83;  10.751295;  72;  9.326425;  57;  7.383420;  32;  4.145078;  24;  3.108808;  20;  2.590674;  15;  1.943005;  10;  1.295337;  5;  0.647668;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
42;  676;  87.564767;  4.101036;  82;  10.621762;  95;  12.305699;  100;  12.953368;  75;  9.715026;  85;  11.010363;  75;  9.715026;  57;  7.383420;  34;  4.404145;  27;  3.497409;  23;  2.979275;  10;  1.295337;  8;  1.036269;  2;  0.259067;  2;  0.259067;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
43;  675;  87.435233;  4.119171;  79;  10.233161;  97;  12.564767;  96;  12.435233;  73;  9.455959;  85;  11.010363;  81;  10.492228;  54;  6.994819;  51;  6.606218;  19;  2.461140;  12;  1.554404;  11;  1.424870;  10;  1.295337;  2;  0.259067;  3;  0.388601;  2;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
44;  673;  87.176166;  4.097150;  89;  11.528497;  98;  12.694301;  90;  11.658031;  74;  9.585492;  79;  10.233161;  72;  9.326425;  58;  7.512953;  41;  5.310881;  23;  2.979275;  20;  2.590674;  14;  1.813472;  9;  1.165803;  3;  0.388601;  2;  0.259067;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
45;  673;  87.176166;  4.106218;  72;  9.326425;  106;  13.730570;  90;  11.658031;  83;  10.751295;  87;  11.269430;  68;  8.808290;  56;  7.253886;  41;  5.310881;  27;  3.497409;  18;  2.331606;  10;  1.295337;  11;  1.424870;  2;  0.259067;  0;  0.000000;  2;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
46;  676;  87.564767;  4.103627;  85;  11.010363;  89;  11.528497;  102;  13.212435;  79;  10.233161;  85;  11.010363;  79;  10.233161;  43;  5.569948;  37;  4.792746;  28;  3.626943;  22;  2.849741;  15;  1.943005;  9;  1.165803;  0;  0.000000;  3;  0.388601;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
47;  676;  87.564767;  4.112694;  79;  10.233161;  88;  11.398964;  103;  13.341969;  87;  11.269430;  71;  9.196891;  92;  11.917098;  48;  6.217617;  37;  4.792746;  27;  3.497409;  19;  2.461140;  15;  1.943005;  6;  0.777202;  2;  0.259067;  2;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
48;  671;  86.917098;  4.089378;  83;  10.751295;  94;  12.176166;  88;  11.398964;  89;  11.528497;  80;  10.362694;  71;  9.196891;  60;  7.772021;  37;  4.792746;  21;  2.720207;  16;  2.072539;  19;  2.461140;  8;  1.036269;  3;  0.388601;  0;  0.000000;  1;  0.129534;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
49;  675;  87.435233;  4.133420;  88;  11.398964;  86;  11.139896;  93;  12.046632;  82;  10.621762;  87;  11.269430;  69;  8.937824;  56;  7.253886;  42;  5.440415;  24;  3.108808;  21;  2.720207;  15;  1.943005;  5;  0.647668;  2;  0.259067;  5;  0.647668;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
50;  674;  87.305699;  4.086788;  92;  11.917098;  86;  11.139896;  82;  10.621762;  96;  12.435233;  86;  11.139896;  70;  9.067358;  55;  7.124352;  29;  3.756477;  33;  4.274611;  15;  1.943005;  20;  2.590674;  6;  0.777202;  2;  0.259067;  1;  0.129534;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
51;  675;  87.435233;  4.102332;  86;  11.139896;  85;  11.010363;  94;  12.176166;  92;  11.917098;  89;  11.528497;  64;  8.290155;  59;  7.642487;  35;  4.533679;  22;  2.849741;  22;  2.849741;  13;  1.683938;  7;  0.906736;  5;  0.647668;  1;  0.129534;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
52;  676;  87.564767;  4.098446;  90;  11.658031;  94;  12.176166;  88;  11.398964;  87;  11.269430;  76;  9.844560;  75;  9.715026;  57;  7.383420;  33;  4.274611;  29;  3.756477;  20;  2.590674;  12;  1.554404;  10;  1.295337;  2;  0.259067;  3;  0.388601;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
53;  677;  87.694301;  4.054404;  90;  11.658031;  95;  12.305699;  97;  12.564767;  78;  10.103627;  95;  12.305699;  68;  8.808290;  40;  5.181347;  39;  5.051813;  28;  3.626943;  20;  2.590674;  14;  1.813472;  7;  0.906736;  3;  0.388601;  2;  0.259067;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
54;  672;  87.046632;  4.084197;  75;  9.715026;  102;  13.212435;  92;  11.917098;  94;  12.176166;  79;  10.233161;  66;  8.549223;  56;  7.253886;  42;  5.440415;  19;  2.461140;  17;  2.202073;  14;  1.813472;  6;  0.777202;  7;  0.906736;  1;  0.129534;  1;  0.129534;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
55;  680;  88.082902;  4.058290;  94;  12.176166;  91;  11.787565;  102;  13.212435;  88;  11.398964;  77;  9.974093;  68;  8.808290;  48;  6.217617;  36;  4.663212;  30;  3.886010;  21;  2.720207;  11;  1.424870;  6;  0.777202;  5;  0.647668;  1;  0.129534;  2;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
56;  678;  87.823834;  4.099741;  90;  11.658031;  92;  11.917098;  103;  13.341969;  77;  9.974093;  79;  10.233161;  65;  8.419689;  57;  7.383420;  36;  4.663212;  36;  4.663212;  16;  2.072539;  13;  1.683938;  9;  1.165803;  3;  0.388601;  2;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
57;  685;  88.730570;  4.123057;  95;  12.305699;  102;  13.212435;  84;  10.880829;  90;  11.658031;  81;  10.492228;  66;  8.549223;  54;  6.994819;  36;  4.663212;  23;  2.979275;  24;  3.108808;  12;  1.554404;  11;  1.424870;  5;  0.647668;  1;  0.129534;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
58;  680;  88.082902;  4.101036;  88;  11.398964;  95;  12.305699;  84;  10.880829;  96;  12.435233;  91;  11.787565;  66;  8.549223;  53;  6.865285;  33;  4.274611;  31;  4.015544;  11;  1.424870;  14;  1.813472;  12;  1.554404;  5;  0.647668;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
59;  674;  87.305699;  4.090674;  85;  11.010363;  89;  11.528497;  109;  14.119171;  83;  10.751295;  72;  9.326425;  78;  10.103627;  44;  5.699482;  37;  4.792746;  25;  3.238342;  24;  3.108808;  12;  1.554404;  3;  0.388601;  11;  1.424870;  2;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
